2024-10-12 19:36:53: ITM12NEO52RSW240927021854.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:53: ITM12NEO52RSW240927133557.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:53: ITM12NEO52RSW240927203321.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:53: ITM12NEO52RSW240928022201.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:53: ITM12NEO52RSW240929133248.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:54: ITM12NEO52RSW240930022822.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:54: ITM12NEO52RSW240930131447.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:54: ITM12NEO52RSW240930142402.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:54: ITM12NEO52RSW240930200512.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:54: ITM12NEO52RSW241001021532.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:54: ITM12NEO52RSW241001135925.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:55: PRM12NEO52RSW241001145703.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:55: ITM12NEO52RSW241001203212.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:55: ITM12NEO52RSW241002015954.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:55: ITM12NEO52RSW241002133157.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:56: PRM12NEO52RSW241002142240.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:56: ITM12NEO52RSW241002190243.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:56: ITM12NEO52RSW241003015912.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:57: ITM12NEO52RSW241003133202.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:57: ITM12NEO52RSW241003203227.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:58: ITM12NEO52RSW241004015427.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:59: ITM12NEO52RSW241004203213.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:36:59: ITM12NEO52RSW241006015444.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:00: ITM12NEO52RSW241006133426.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:01: ITM12NEO52RSW241007203701.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:02: ITM12NEO52RSW241008133650.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:03: ITM12NEO52RSW241008203335.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:03: ITM12NEO52RSW241009015829.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:03: ITM12NEO52RSW241009133559.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:04: ITM12NEO52RSW241009203240.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:04: ITM12NEO52RSW241010021028.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:04: ITM12NEO52RSW241010133319.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:04: ITM12NEO52RSW241010203326.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:04: ITM12NEO52RSW241011133403.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:05: PRM12NEO52RSW241011135109.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:05: ITM12NEO52RSW241011203211.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:05: ITM12NEO52RSW241012015630.json.gz successfully integrated to Customer: Bara, Store: 03.
2024-10-12 19:37:05: ITM12NEO52RSW241012133544.json.gz successfully integrated to Customer: Bara, Store: 03.
